cohort,method,window_id,truth_rr,predicted_rr,truth_count,predicted_count
R2_complete216,center_support,jiufu_b7ed63dc0d8295_first30,22.0,30.0,11,15
R2_complete216,center_support,jiufu_9ddfe0afe06424_first30,30.0,20.0,15,10
R3_full11,original,jiufu_7cb985938d0a6a_first30,26.0,24.0,13,12
R3_full11,original,jiufu_0d1522aef374ec_first30,30.0,28.0,15,14
R3_full11,original,jiufu_440a29cebcae1c_first30,24.0,22.0,12,11
R3_full11,original,jiufu_f920435ef76ec4_first30,20.0,16.0,10,8
R3_full11,original,jiufu_bd77cfa7950eaa_first30,28.0,30.0,14,15
R3_full11,original,jiufu_cc60214ff2d564_first30,20.0,20.0,10,10
R3_full11,original,jiufu_55441b4c6fe974_first30,20.0,26.0,10,13
R3_full11,center_support,jiufu_7cb985938d0a6a_first30,26.0,24.0,13,12
R3_full11,center_support,jiufu_0d1522aef374ec_first30,30.0,28.0,15,14
R3_full11,center_support,jiufu_440a29cebcae1c_first30,24.0,18.0,12,9
R3_full11,center_support,jiufu_f920435ef76ec4_first30,20.0,10.0,10,5
R3_full11,center_support,jiufu_bd77cfa7950eaa_first30,28.0,22.0,14,11
R3_full11,center_support,jiufu_cc60214ff2d564_first30,20.0,6.0,10,3
R3_full11,center_support,jiufu_55441b4c6fe974_first30,20.0,14.0,10,7
R3_strict9,original,jiufu_7cb985938d0a6a_first30,26.0,24.0,13,12
R3_strict9,original,jiufu_0d1522aef374ec_first30,30.0,28.0,15,14
R3_strict9,original,jiufu_440a29cebcae1c_first30,24.0,22.0,12,11
R3_strict9,original,jiufu_f920435ef76ec4_first30,20.0,16.0,10,8
R3_strict9,original,jiufu_cc60214ff2d564_first30,20.0,20.0,10,10
R3_strict9,original,jiufu_55441b4c6fe974_first30,20.0,26.0,10,13
R3_strict9,center_support,jiufu_7cb985938d0a6a_first30,26.0,24.0,13,12
R3_strict9,center_support,jiufu_0d1522aef374ec_first30,30.0,28.0,15,14
R3_strict9,center_support,jiufu_440a29cebcae1c_first30,24.0,18.0,12,9
R3_strict9,center_support,jiufu_f920435ef76ec4_first30,20.0,10.0,10,5
R3_strict9,center_support,jiufu_cc60214ff2d564_first30,20.0,6.0,10,3
R3_strict9,center_support,jiufu_55441b4c6fe974_first30,20.0,14.0,10,7
